Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
151cd7c5-695c-4cbb-98c8-7bbe5f8c0791,2018-11-06 11:54:02,Walking,,1.29,17:15,13:22,4.49,74.0,13,,"","",2018-11-06-115402.gpx
74ad04cd-0d6b-4bdc-8e81-70a79a3153fa,2018-11-06 05:54:04,Cycling,,3.47,11:23,3:17,18.29,81.0,28,,"","",2018-11-06-055404.gpx
f964ee68-6e34-45e7-a9c8-39aaf3d325f1,2018-11-05 20:45:08,Cycling,,4.57,17:13,3:46,15.90,114.0,59,,"","",2018-11-05-204508.gpx
1fd2e3d9-7207-449f-84a1-4912d1332fae,2018-11-05 17:02:46,Walking,,3.51,37:01,10:33,5.69,223.0,59,,"","",2018-11-05-170246.gpx
95e4b072-7958-49ae-a6fd-5eb1ac1e9073,2018-11-05 07:11:12,Walking,,3.51,35:01,9:58,6.02,214.0,28,,"","",2018-11-05-071112.gpx
0864eb70-6059-49b8-aa4c-a520d63c8725,2018-11-04 15:15:47,Walking,,8.13,1:25:31,10:31,5.70,446.0,133,,"","",2018-11-04-151547.gpx
cebd3f4f-084d-4dcc-b836-114922768206,2018-10-30 17:45:35,Walking,,3.50,35:34,10:10,5.90,221.0,63,,"","",2018-10-30-174535.gpx
ee1fbd5d-f579-41bb-9483-a0f9638329dc,2018-10-30 07:22:07,Walking,,3.45,33:41,9:46,6.15,213.0,24,,"","",2018-10-30-072207.gpx
c63d2c54-1493-403e-9c58-4a6efaf4ee84,2018-10-29 17:03:52,Walking,,1.78,20:22,11:29,5.23,111.0,26,,"","",2018-10-29-170352.gpx
b2a39860-f4ad-4b84-87f0-4e9d2a40d8d7,2018-10-29 07:19:31,Walking,,3.42,33:29,9:48,6.12,209.0,27,,"","",2018-10-29-071931.gpx
cce82d97-f4c0-4d15-aaa7-59ed8e6fa771,2018-10-28 15:09:15,Walking,,1.87,19:07,10:15,5.85,119.0,44,,"","",2018-10-28-150915.gpx
860f6e74-d215-4b39-829f-e915fa9183fd,2018-10-28 12:46:02,Walking,,4.33,58:38,13:32,4.43,260.0,76,,"","",2018-10-28-124602.gpx
5bbf249d-50e8-4de5-8ac5-bed6affa88a0,2018-10-26 13:38:31,Walking,,2.90,31:09,10:44,5.59,171.0,53,,"","",2018-10-26-133831.gpx
1ab22a49-9169-4de3-86cd-a5c0e4c0a108,2018-10-26 06:29:59,Walking,,3.44,36:16,10:32,5.70,204.0,27,,"","",2018-10-26-062959.gpx
